,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Japan,Japan,GPE,0.09209998,0.48192014,en,342.10000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Afghanistan,Afghanistan,GPE,0.01244828,0.37757615,en,171.50000000,4000687-6,1149361,X,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Alaska,Alaska,GPE,0.03158637,0.32050923,en,72.40000000,4001016-8,5879092,X,64.80000000,-150.80000000,NORTH-AMERICA,United States,NWN
Indonesia,Indonesia,GPE,0.07535737,0.51402868,en,61.60000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Bangladesh,Bangladesh,GPE,0.00126305,0.32819993,en,55.70000000,4130903-0,1210997,X,24.00000000,90.00000000,ASIA,Bangladesh,SAS
Pakistan,Pakistan,GPE,-0.02404097,0.35855159,en,53.90000000,4075812-6,1168579,X,30.00000000,70.00000000,ASIA,Pakistan,WCA
Taiwan,Taiwan,GPE,-0.00498428,0.37490566,en,53.00000000,4017875-4,1668284,X,24.00000000,121.00000000,ASIA,Taiwan,EAS
California,California,GPE,0.09295898,0.53131261,en,48.20000000,,-1,,,,,,
Philippines,Philippines,GPE,-0.03524554,1.09219906,en,47.30000000,4045771-0,1694008,X,13.00000000,122.00000000,ASIA,,SEA
Mexico,Mexico,GPE,0.08418470,0.31812891,en,42.00000000,,-1,,,,,,
the United States Geological Survey,the United States Geological Survey,GPE,0.07371303,0.21426433,en,41.50000000,,-1,,,,,,
Myanmar,Myanmar,GPE,-0.02399022,0.38910927,en,38.80000000,,-1,,,,,,
India,India,GPE,0.00800876,0.37760403,en,36.10000000,,-1,,,,,,
Earth,Earth,LOC,0.03646094,0.56971736,en,29.90000000,,-1,,,,,,
Nepal,Nepal,GPE,0.12039931,0.41670896,en,28.80000000,4041612-4,1282988,X,28.00000000,84.00000000,ASIA,Nepal,TIB
Turkey,Turkey,GPE,0.05176420,0.42409109,en,27.20000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
Dhaka,Dhaka,GPE,0.04968003,0.36648315,en,25.30000000,4230727-2,1185241,X,23.71039900,90.40743900,ASIA,Bangladesh,SAS
TOKYO,TOKYO,GPE,0.13348250,0.50729661,en,23.50000000,,-1,,,,,,
Aomori,Aomori,GPE,0.06890497,0.39144046,en,22.70000000,4309664-5,2130658,X,40.82444000,140.74000000,ASIA,Japan,EAS
Sabah,Sabah,GPE,0.13063556,0.45752688,en,21.70000000,4042495-9,1733039,X,5.50000000,117.00000000,ASIA,Malaysia,SEA
Tokyo,Tokyo,GPE,0.18057166,0.56251036,en,20.60000000,4078337-6,1850147,X,35.68950000,139.69171000,ASIA,Japan,EAS
Türkiye,Türkiye,GPE,-0.04121700,0.32779461,en,20.60000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
Anchorage,Anchorage,GPE,0.03880317,0.23484743,en,20.60000000,,-1,,,,,,
Chile,Chile,GPE,0.03094059,0.27248350,en,20.20000000,4009929-5,3895114,X,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Kolkata,Kolkata,GPE,0.06842546,0.49958124,en,19.90000000,4029344-0,1275004,X,22.56262900,88.36303900,ASIA,India,SAS
Nevada,Nevada,GPE,0.04632092,0.24113475,en,18.80000000,4041996-4,5509151,X,39.25021000,-116.75118900,NORTH-AMERICA,United States,WNA
Canada,Canada,GPE,0.08060373,0.40052987,en,17.30000000,4029456-0,6251999,X,60.10866900,-113.64257900,NORTH-AMERICA,Canada,NWN
Mexico City,Mexico City,GPE,0.12120098,0.29852941,en,17.00000000,4039060-3,3530597,X,19.42833300,-99.12750000,CENTRAL-AMERICA,Mexico,NCA
Fukushima,Fukushima,GPE,0.07835249,0.22222222,en,14.50000000,,-1,,,,,,
Mazar-e Sharif,Mazar-e Sharif,GPE,0.06046562,0.50471401,en,14.50000000,,-1,,,,,,
the Bay Area,the Bay Area,LOC,0.14715608,0.60831404,en,14.40000000,,-1,,,,,,
San Ramon,San Ramon,GPE,0.01018489,0.46363107,en,14.30000000,,-1,,,,,,
China,China,GPE,0.13364306,0.39279753,en,14.20000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Pacific,Pacific,LOC,0.21414465,0.98917234,en,12.90000000,,-1,,,,,,
San Francisco,San Francisco,GPE,0.19756675,0.51981051,en,12.90000000,,-1,,,,,,
U.S.,U.S.,GPE,0.07788648,0.39895610,en,12.70000000,,-1,,,,,,
Malaysia,Malaysia,GPE,0.10490336,0.40938917,en,12.70000000,4037203-0,1733045,X,2.50000000,112.50000000,ASIA,Malaysia,SEA
Israel,Israel,GPE,0.17898889,0.49866667,en,12.50000000,4027808-6,294640,X,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Cuba,Cuba,GPE,0.08746556,0.16597796,en,12.10000000,,-1,,,,,,
the United States,the United States,GPE,0.33223380,0.59305556,en,12.00000000,,-1,,,,,,
Sumatra,Sumatra,GPE,0.10946328,0.37146893,en,11.80000000,,-1,,,,,,
Yilan,Yilan,GPE,-0.02862319,0.35289855,en,11.50000000,,-1,,,,,,
US,US,GPE,-0.13837545,0.65806878,en,11.40000000,,-1,,,,,,
Tibet,Tibet,GPE,0.04148065,0.16071429,en,11.20000000,,-1,,,,,,
Delhi,Delhi,GPE,0.05654518,0.24093639,en,11.10000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
Haiti,Haiti,GPE,-0.02482624,0.35251599,en,10.90000000,4022974-9,3723988,X,19.00000000,-72.41666900,CENTRAL-AMERICA,Haiti,CAR
Antarctica,Antarctica,LOC,0.04644577,0.49256585,en,10.70000000,,-1,,,,,,
Hawaii,Hawaii,GPE,-0.06180070,0.34020493,en,10.40000000,4023877-5,5855797,X,20.75028000,-156.50028000,PACIFIC,,NPO
TAIPEI,TAIPEI,GPE,0.08300971,0.30533981,en,10.30000000,,-1,,,,,,
Kashmir,Kashmir,LOC,0.07787879,0.26848485,en,10.00000000,,-1,,,,,,
the South Pacific Ocean,the South Pacific Ocean,LOC,0.18624242,0.47769697,en,10.00000000,,-1,,,,,,
Louisiana,Louisiana,GPE,0.13166667,0.22083333,en,10.00000000,4036394-6,4331987,X,31.69999900,-92.99999900,NORTH-AMERICA,United States,CNA
KABUL,KABUL,GPE,0.02824074,0.47569444,en,9.60000000,,-1,,,,,,
Iran,Iran,GPE,-0.03959811,0.42198582,en,9.40000000,4027653-3,130758,X,32.00000000,53.00000000,ASIA,Iran,WCA
Acapulco,Acapulco,GPE,0.12835557,0.47842556,en,9.20000000,,-1,,,,,,
Jammu,Jammu,GPE,0.08558109,0.29503830,en,9.10000000,4387357-1,1269321,X,32.73568900,74.86911000,ASIA,India,WCA
Ireland,Ireland,GPE,0.03626374,0.05714286,en,9.10000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Italy,Italy,GPE,0.00340909,0.44204545,en,8.80000000,,-1,,,,,,
Ontario,Ontario,GPE,-0.03997446,0.28036398,en,8.70000000,4102089-3,6093943,X,49.25014000,-84.49983000,NORTH-AMERICA,Canada,ENA
Cebu,Cebu,LOC,0.35957481,1.25564346,en,8.70000000,,-1,,,,,,
Tonga,Tonga,GPE,0.19283075,0.48640059,en,8.20000000,4060396-9,4032283,X,-20.00000000,-175.00000000,PACIFIC,,SPO
Russia,Russia,GPE,0.09838597,0.61375892,en,8.20000000,,-1,,,,,,
Tohoku,Tohoku,GPE,0.10670732,0.34552846,en,8.20000000,,-1,,,,,,
North Sulawesi,North Sulawesi,GPE,0.16296296,0.37888889,en,7.50000000,,-1,,,,,,
Vanuatu,Vanuatu,GPE,0.04251764,0.37741802,en,7.30000000,4062334-8,2134431,X,-16.00000000,167.00000000,PACIFIC,,SPO
Aomori Prefecture,Aomori Prefecture,LOC,0.16575342,0.54200913,en,7.30000000,,-1,,,,,,
The United States Geological Survey,The United States Geological Survey,GPE,0.24657534,0.65068493,en,7.30000000,,-1,,,,,,
Honshu,Honshu,GPE,0.15563166,0.41971081,en,7.30000000,,-1,,,,,,
Pacific coast,Pacific coast,LOC,0.01504630,0.51898148,en,7.20000000,,-1,,,,,,
Taipei,Taipei,GPE,-0.00194805,0.40000000,en,7.00000000,4078134-3,1668341,X,25.04776000,121.53185000,ASIA,Taiwan,EAS
Bay Area,Bay Area,LOC,0.16425121,0.55314010,en,6.90000000,,-1,,,,,,
Spain,Spain,GPE,-0.12892871,0.49562937,en,6.50000000,4055964-6,2510769,X,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
San Andreas,San Andreas,LOC,0.14782592,0.45681424,en,6.40000000,,-1,,,,,,
Hokkaido,Hokkaido,GPE,0.03314394,0.06510417,en,6.40000000,,-1,,,,,,
Northern California,Northern California,LOC,-0.04547822,0.30040246,en,6.40000000,,-1,,,,,,
Gujarat,Gujarat,LOC,0.03645833,0.13181090,en,6.40000000,4118450-6,1270770,X,23.00000000,72.00000000,ASIA,India,SAS
Taplejung,Taplejung,GPE,0.08333333,0.27604167,en,6.40000000,,-1,,,,,,
Kathmandu,Kathmandu,GPE,0.01562500,0.15625000,en,6.40000000,4030036-5,1283240,X,27.70168900,85.32059900,ASIA,Nepal,TIB
Ternate,Ternate,GPE,0.13281250,0.44531250,en,6.40000000,,-1,,,,,,
the San Francisco Bay Area,the San Francisco Bay Area,LOC,0.02269345,0.35044643,en,6.40000000,,-1,,,,,,
